total_ssds,m,k,l,cached_ssds,cached_m,cached_k,cached_l,cached_network_m,cached_network_k,cached_network_l,inter_replicas,intra_replicas,cached_write_ratio,network_m,network_k,network_l,capacity,qlc,simulation,dwpd,guaranteed_years,dwpd_limit,op_ratio,waf_ratio,ssd_read_bw,ssd_write_bw,qlc_cache,cached_dwpd_limit,cached_ssd_read_bw,cached_ssd_write_bw,write_through,config_file,nprocs,box_mttf,io_module_mttf,active_active,single_port_ssd,rebuild_bw_ratio,target_perf_ratio,simulation_year,up_time,cached_up_time,simulation_time,effective_up_time,credit_up_time,uncached_availability,cached_availability,availability,avail_nines,total_credit_ratio,effective_availability,eff_avail_nines,credit_availability,credit_avail_nines,operation_cost_per_year,repair_cost_per_year,down_cost_per_year,cached_ssd_repair_cost_per_year,uncached_ssd_repair_cost_per_year,initial_cost,cached_initial_cost,uncached_initial_cost,repair_cost_for_10_years,down_cost_for_10_years,cached_ssd_repair_cost_for_10_years,uncached_ssd_repair_cost_for_10_years,total_cost_for_10_years,effective_capacity,initial_cost_per_gb,cost_per_gb,avg_time_for_rebuilding,cached_mttf,mttf,total_mttdl,total_mttdl_count
48,45,3,0,0,0,0,0,46,0,0,0,0,0,46,2,0,128000000000000,True,True,0.36,5,0.26,0.07,0,7000000000.0,4000000000.0,False,1,7000000000.0,4000000000.0,False,/home/sejun000/availability/2tier.json,20,7277969952.0,0,True,False,0.2,1.0,10,7008000000.0,7008000000.0,7008000000.0,7001011704.103598,7001011704.103598,1.0,1.0,1.0,13,0.36071654767352335,0.9990028116586184,3.001222807688545,0.9990028116586184,3.001222807688545,2031995.3566291728,1360182.3687200001,671812.9879091728,0.0,1359094.272,5022578.0,0.0,4915200.0,13601823.687200002,6718129.879091728,0.0,13590942.72,25342531.566291727,5520000000000000.0,0.11373591485507246,0.5738797909033453,58.38988142882995,121666.66666666667,31633.333333333336,0,0
48,45,3,0,0,0,0,0,45,0,0,0,0,0,45,3,0,128000000000000,True,True,0.36,5,0.26,0.07,0,7000000000.0,4000000000.0,False,1,7000000000.0,4000000000.0,False,/home/sejun000/availability/2tier.json,20,7277969952.0,0,True,False,0.2,1.0,10,7008000000.0,7008000000.0,7008000000.0,7000961183.599426,7000961183.599426,1.0,1.0,1.0,13,0.36320785712317294,0.9989956026825665,2.9980944558808376,0.9989956026825665,2.9980944558808376,2035158.3785753106,1359098.9735225001,676059.4050528104,0.0,1358005.12,5022578.0,0.0,4915200.0,13590989.735225001,6760594.050528104,0.0,13580051.200000001,25374161.785753105,5400000000000000.0,0.11626337962962963,0.5873648561516922,58.38303310217546,121666.66666666667,31633.333333333336,0,0
48,47,1,0,0,0,0,0,8,0,0,0,0,0,8,0,0,128000000000000,True,True,0.36,5,0.26,0.07,0,7000000000.0,4000000000.0,False,1,7000000000.0,4000000000.0,False,/home/sejun000/availability/2tier.json,20,7277969952.0,0,False,False,0.2,1.0,10,5617828427.735503,7008000000.0,7008000000.0,5617828368.950633,5617828368.950633,0.8016307687978743,1.0,0.8016307687978743,0.7025256898200215,1.0000010125595722,0.8016307604096223,0.702525671455422,0.8016307604096223,0.702525671455422,3189522.919653007,1343631.6252899999,1845891.2943630067,0.0,1342550.272,5022578.0,0.0,4915200.0,13436316.252899999,18458912.943630066,0.0,13425502.72,36917807.19653007,6016000000000000.0,0.10435875166223403,0.7670754487310935,436.3107688198453,121666.66666666667,31633.333333333336,5462.657152260414,1028388
48,46,2,0,0,0,0,0,8,0,0,0,0,0,8,0,0,128000000000000,True,True,0.36,5,0.26,0.07,0,7000000000.0,4000000000.0,False,1,7000000000.0,4000000000.0,False,/home/sejun000/availability/2tier.json,20,7277969952.0,0,False,False,0.2,1.0,10,6945606163.402074,7008000000.0,7008000000.0,6945606083.314942,6945606083.314942,0.9910967698918485,1.0,0.9910967698918485,2.050452401934538,0.6100607446290329,0.9910967584638902,2.050451844485617,0.9910967584638902,2.050451844485617,2492522.97738042,1357784.30547375,1134738.67190667,0.0,1356690.048,5022578.0,0.0,4915200.0,13577843.0547375,11347386.719066702,0.0,13566900.48,29947807.773804203,5888000000000000.0,0.10662742017663043,0.6357805658501232,112.4392521531005,121666.66666666667,31633.333333333336,81249.87880886991,85468
48,45,3,0,0,0,0,0,8,0,0,0,0,0,8,0,0,128000000000000,True,True,0.36,5,0.26,0.07,0,7000000000.0,4000000000.0,False,1,7000000000.0,4000000000.0,False,/home/sejun000/availability/2tier.json,20,7277969952.0,0,False,False,0.2,1.0,10,7006196647.137907,7008000000.0,7008000000.0,7006196569.904007,7006196569.904007,0.9997426722514137,1.0,0.9997426722514137,3.5895133797121286,0.039037696790102806,0.9997426612305946,3.5894947801696033,0.9997426612305946,3.5894947801696033,1431458.4471491082,1358806.772655,72651.67449410814,0.0,1357720.96,5022578.0,0.0,4915200.0,13588067.72655,726516.7449410814,0.0,13577209.6,19337162.471491084,5760000000000000.0,0.10899691840277778,0.4196432828014558,93.54611943828934,121666.66666666667,31633.333333333336,1843924.5451849604,3780
48,44,4,0,0,0,0,0,8,0,0,0,0,0,8,0,0,128000000000000,True,True,0.36,5,0.26,0.07,0,7000000000.0,4000000000.0,False,1,7000000000.0,4000000000.0,False,/home/sejun000/availability/2tier.json,20,7277969952.0,0,False,False,0.2,1.0,10,7007948538.089736,7008000000.0,7008000000.0,7007948460.862651,7007948460.862651,0.999992656690887,1.0,0.999992656690887,5.134108189993571,0.0017326649154485864,0.9999926456710404,5.133456948013198,0.9999926456710404,5.133456948013198,1361902.789305439,1358678.4104237498,3224.378881689079,0.0,1357585.664,5022578.0,0.0,4915200.0,13586784.104237499,32243.788816890792,0.0,13575856.64,18641605.89305439,5632000000000000.0,0.11147412109375,0.41374302852127104,92.91562679855633,121666.66666666667,31633.333333333336,39510281.55046492,146
48,43,5,0,0,0,0,0,8,0,0,0,0,0,8,0,0,128000000000000,True,True,0.36,5,0.26,0.07,0,7000000000.0,4000000000.0,False,1,7000000000.0,4000000000.0,False,/home/sejun000/availability/2tier.json,20,7277969952.0,0,False,False,0.2,1.0,10,7007998136.929878,7008000000.0,7008000000.0,7007998063.570098,7007998063.570098,0.9999997341509529,1.0,0.9999997341509529,6.575364892001092,0.00036609141362399717,0.9999997236829478,6.558592312822119,0.9999997236829478,6.558592312822119,1359175.4517508217,1358494.24640375,681.2053470716944,0.0,1357408.896,5022578.0,0.0,4915200.0,13584942.4640375,6812.0534707169445,0.0,13574088.959999999,18614332.517508216,5504000000000000.0,0.11406654251453488,0.4227455604448632,92.88796605276198,121666.66666666667,31633.333333333336,154703592.35616556,6
48,42,6,0,0,0,0,0,8,0,0,0,0,0,8,0,0,128000000000000,True,True,0.36,5,0.26,0.07,0,7000000000.0,4000000000.0,False,1,7000000000.0,4000000000.0,False,/home/sejun000/availability/2tier.json,20,7277969952.0,0,False,False,0.2,1.0,10,7007999855.943515,7008000000.0,7008000000.0,7007999782.951767,7007999782.951767,0.9999999794439947,1.0,0.9999999794439947,7.687061278117162,0.0003102849550068343,0.9999999690285055,7.509037837948622,0.9999999690285055,7.509037837948622,1358780.8164179334,1358203.54325375,577.2731641834444,0.0,1357117.952,5022578.0,0.0,4915200.0,13582035.4325375,5772.7316418344435,0.0,13571179.52,18610386.164179333,5376000000000000.0,0.11678241257440478,0.4327191723441995,92.9563390080056,121666.66666666667,31633.333333333336,0,0
48,1,0,0,0,0,0,0,47,0,0,0,0,0,47,1,0,128000000000000,True,True,0.36,5,0.26,0.07,0,7000000000.0,4000000000.0,False,1,7000000000.0,4000000000.0,False,/home/sejun000/availability/2tier.json,20,7277969952.0,0,False,False,0.2,1.0,10,6890122286.54965,7008000000.0,7008000000.0,7007846937.768171,6890005962.636535,0.9831795500213542,1.0,0.9831795500213542,1.7741623901891843,1.0000007595249492,0.9999781589281066,4.6607260515915385,0.9831629512894599,1.7737340316638361,3171394.9328599228,1334567.8688725,1836827.0639874227,0.0,1333477.76,5022578.0,0.0,4915200.0,13345678.688725,18368270.639874227,0.0,13334777.6,36736527.32859923,6016000000000000.0,0.10435875166223403,0.7633088291347911,668.5771969816915,121666.66666666667,31633.333333333336,1053.352297426015,4740813
48,1,0,0,0,0,0,0,46,0,0,0,0,0,46,2,0,128000000000000,True,True,0.36,5,0.26,0.07,0,7000000000.0,4000000000.0,False,1,7000000000.0,4000000000.0,False,/home/sejun000/availability/2tier.json,20,7277969952.0,0,False,False,0.2,1.0,10,6976010271.448323,7008000000.0,7008000000.0,7007781621.219566,6975802196.2774315,0.9954352556290416,1.0,0.9954352556290416,2.3405835382590707,1.0000006992270634,0.9999688386443445,4.5063836568756255,0.9954055645373048,2.3377678445604677,3200258.4827043414,1348999.6941275,1851258.7885768414,0.0,1347907.072,5022578.0,0.0,4915200.0,13489996.941275,18512587.885768414,0.0,13479070.719999999,37025162.827043414,5888000000000000.0,0.10662742017663043,0.7860301211583605,302.8279572828292,121666.66666666667,31633.333333333336,4280.955026931275,1541429
48,1,0,0,0,0,0,0,45,0,0,0,0,0,45,3,0,128000000000000,True,True,0.36,5,0.26,0.07,0,7000000000.0,4000000000.0,False,1,7000000000.0,4000000000.0,False,/home/sejun000/availability/2tier.json,20,7277969952.0,0,False,False,0.2,1.0,10,7000693499.099394,7008000000.0,7008000000.0,7007763212.934617,7000458909.004226,0.9989574056934066,1.0,0.9989574056934066,2.981884651001014,0.644023055709636,0.9999662118913552,4.471236118023696,0.9989239310793702,2.9681599118567474,2549719.117580021,1354149.81361625,1195569.3039637706,0.0,1353062.016,5022578.0,0.0,4915200.0,13541498.136162499,11955693.039637707,0.0,13530620.16,30519769.175800208,5760000000000000.0,0.10899691840277778,0.6623213796831643,199.93082243669585,121666.66666666667,31633.333333333336,40008.90247985939,174359
48,1,0,0,0,0,0,0,44,0,0,0,0,0,44,4,0,128000000000000,True,True,0.36,5,0.26,0.07,0,7000000000.0,4000000000.0,False,1,7000000000.0,4000000000.0,False,/home/sejun000/availability/2tier.json,20,7277969952.0,0,False,False,0.2,1.0,10,7006646043.256818,7008000000.0,7008000000.0,7007759268.714913,7006405731.236675,0.999806798409934,1.0,0.999806798409934,3.713989303624273,0.09786735005786101,0.9999656490746166,4.464061558939517,0.9997725073111694,3.6430325561565335,1536937.6355957564,1355157.338075,181780.29752075628,0.0,1354068.48,5022578.0,0.0,4915200.0,13551573.38075,1817802.9752075628,0.0,13540684.8,20391954.355957564,5632000000000000.0,0.11147412109375,0.45259131649408657,175.69782967079246,121666.66666666667,31633.333333333336,192371.88982441413,36323
48,1,0,0,0,0,0,0,43,0,0,0,0,0,43,5,0,128000000000000,True,True,0.36,5,0.26,0.07,0,7000000000.0,4000000000.0,False,1,7000000000.0,4000000000.0,False,/home/sejun000/availability/2tier.json,20,7277969952.0,0,False,False,0.2,1.0,10,7007797326.167754,7008000000.0,7008000000.0,7007756197.982248,7007553583.954281,0.9999710796472252,1.0,0.9999710796472252,4.538796413756022,0.05860033415516351,0.9999652108992935,4.45855679755991,0.9999362990802342,4.195854296921541,1463257.3675871992,1354453.46691625,108803.90067094924,0.0,1353358.72,5022578.0,0.0,4915200.0,13544534.6691625,1088039.0067094923,0.0,13533587.2,19655151.67587199,5504000000000000.0,0.11406654251453488,0.44638335019694747,171.39253389173498,121666.66666666667,31633.333333333336,660677.0312692147,10413
48,1,0,0,0,0,0,0,42,0,0,0,0,0,42,6,0,128000000000000,True,True,0.36,5,0.26,0.07,0,7000000000.0,4000000000.0,False,1,7000000000.0,4000000000.0,False,/home/sejun000/availability/2tier.json,20,7277969952.0,0,False,False,0.2,1.0,10,7007974483.570671,7008000000.0,7008000000.0,7007760131.019976,7007734620.715644,0.9999963589570021,1.0,0.9999963589570021,5.438774192356225,0.051720613188535346,0.9999657721204304,4.465620004739717,0.9999621319514332,4.421727074560323,1450803.654843243,1354757.6757375,96045.97910574319,0.0,1353673.984,5022578.0,0.0,4915200.0,13547576.757375,960459.7910574318,0.0,13536739.84,19530614.548432432,5376000000000000.0,0.11678241257440478,0.4541158516655606,170.55932520813667,121666.66666666667,31633.333333333336,13256679.638362369,315
